id,address,power,heart_rate,step,temperature,systolic_pressure,diastolic_pressure,accx,accy,accz,gyroscopex,gyroscopey,gyroscopez,stay,sos,elock_open_illegal_warn,timestamp,bs_address,sample_time,sample_batch
3922,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3055,-1245,-15988,-47,24,-123,1,NULL,NULL,1666582939531,01370022,"2022-10-24,11:43:04",27
3923,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3874,-228,-15225,-23,-1,2,0,NULL,NULL,1666582941953,01370022,"2022-10-24,11:43:05",27
3924,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3098,-1060,-15088,-7,-19,-2,0,NULL,NULL,1666582942078,01370022,"2022-10-24,11:43:05",27
3925,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3933,-204,-15788,25,-94,-64,0,NULL,NULL,1666582942196,01370022,"2022-10-24,11:43:05",27
3926,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3944,-535,-15564,57,-54,-22,1,NULL,NULL,1666582942321,01370022,"2022-10-24,11:43:05",27
3927,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,5407,-324,-17719,157,36,-70,0,NULL,NULL,1666582942677,01370022,"2022-10-24,11:43:05",27
3928,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3984,-1146,-16941,148,121,-50,0,NULL,NULL,1666582942807,01370022,"2022-10-24,11:43:06",27
3929,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,474,-4003,-14690,-31,197,95,0,NULL,NULL,1666582942925,01370022,"2022-10-24,11:43:06",27
3930,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2238,-2231,-14923,65,-35,29,0,NULL,NULL,1666582943051,01370022,"2022-10-24,11:43:06",27
3931,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,4365,-2188,-13230,-63,30,-72,0,NULL,NULL,1666582943164,01370022,"2022-10-24,11:43:06",27
3932,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,5422,-3683,-16719,-99,-102,-15,0,NULL,NULL,1666582943281,01370022,"2022-10-24,11:43:06",27
3933,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,5177,-1988,-16250,-230,417,-98,0,NULL,NULL,1666582943405,01370022,"2022-10-24,11:43:06",27
3934,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,5079,-852,-16983,-217,353,-124,0,NULL,NULL,1666582943520,01370022,"2022-10-24,11:43:06",27
3935,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1553,-1524,-13299,85,159,325,0,NULL,NULL,1666582943653,01370022,"2022-10-24,11:43:06",27
3936,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3032,-2430,-14013,124,-297,428,0,NULL,NULL,1666582943764,01370022,"2022-10-24,11:43:06",27
3937,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,4661,-2074,-13497,24,-92,199,0,NULL,NULL,1666582943878,01370022,"2022-10-24,11:43:07",27
3938,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,5648,-891,-14684,16,-66,-209,0,NULL,NULL,1666582944020,01370022,"2022-10-24,11:43:07",27
3939,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,5619,-853,-15100,160,-47,-187,1,NULL,NULL,1666582944134,01370022,"2022-10-24,11:43:07",27
3940,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1329,-1995,-15694,-112,18,-164,0,NULL,NULL,1666582944523,01370022,"2022-10-24,11:43:07",27
3941,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2961,-2294,-13885,-65,-119,-58,0,NULL,NULL,1666582944650,01370022,"2022-10-24,11:43:07",27
3942,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3590,-2598,-15984,-72,-131,25,0,NULL,NULL,1666582944768,01370022,"2022-10-24,11:43:07",27
3943,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,4776,-2699,-15860,-23,104,28,0,NULL,NULL,1666582944907,01370022,"2022-10-24,11:43:08",27
3944,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,4022,-1381,-18234,-45,-53,42,0,NULL,NULL,1666582945035,01370022,"2022-10-24,11:43:08",27
3945,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,801,496,-15894,6,28,63,0,NULL,NULL,1666582945168,01370022,"2022-10-24,11:43:08",27
3946,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3297,-723,-14238,-9,-144,91,0,NULL,NULL,1666582945307,01370022,"2022-10-24,11:43:08",27
3947,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2746,-1343,-15303,-1,-20,60,0,NULL,NULL,1666582945420,01370022,"2022-10-24,11:43:08",27
3948,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,5006,-1297,-14960,89,8,-104,0,NULL,NULL,1666582945557,01370022,"2022-10-24,11:43:08",27
3949,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,4620,-1996,-16895,179,-38,-235,0,NULL,NULL,1666582945672,01370022,"2022-10-24,11:43:08",27
3950,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1215,-1308,-20507,89,-60,-347,0,NULL,NULL,1666582945812,01370022,"2022-10-24,11:43:09",27
3951,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1279,-1851,-14826,-29,174,-335,0,NULL,NULL,1666582945932,01370022,"2022-10-24,11:43:09",27
3952,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1805,-1837,-13561,54,8,15,0,NULL,NULL,1666582946050,01370022,"2022-10-24,11:43:09",27
3953,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2924,-2797,-15200,-31,-87,120,0,NULL,NULL,1666582946177,01370022,"2022-10-24,11:43:09",27
